no_of_dependents,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,education_ Graduate,education_ Not Graduate,self_employed_ No,self_employed_ Yes,loan_status
0.8,0.22680412371134018,0.17857142857142855,0.1111111111111111,0.4,0.08904109589041095,0.015463917525773195,0.19329896907216496,0.14965986394557823,0.0,1.0,1.0,0.0, Approved
1.0,0.23711340206185563,0.23214285714285712,0.7777777777777777,0.7250000000000001,0.003424657534246575,0.1134020618556701,0.23711340206185566,0.11564625850340136,0.0,1.0,0.0,1.0, Approved
0.8,0.8762886597938143,0.5892857142857142,0.7777777777777777,0.12,0.3664383561643836,0.6030927835051546,0.5077319587628866,0.54421768707483,1.0,0.0,0.0,1.0, Rejected
0.0,0.5154639175257731,0.30357142857142855,0.7777777777777777,0.8050000000000002,0.17465753424657532,0.10309278350515463,0.28608247422680416,0.34693877551020413,1.0,0.0,1.0,0.0, Approved
0.4,0.6185567010309277,0.413265306122449,0.1111111111111111,0.3500000000000001,0.4863013698630137,0.2422680412371134,0.46134020618556704,0.4285714285714286,0.0,1.0,0.0,1.0, Rejected
0.4,0.8144329896907216,0.4642857142857143,0.2222222222222222,0.12,0.6575342465753424,0.5257731958762887,0.7912371134020618,0.5374149659863946,0.0,1.0,1.0,0.0, Rejected
1.0,0.7525773195876289,0.6198979591836734,0.3333333333333333,0.74,0.05821917808219178,0.18556701030927836,0.422680412371134,0.6326530612244898,0.0,1.0,0.0,1.0, Approved
1.0,0.6907216494845361,0.39285714285714285,0.6666666666666665,0.9783333333333335,0.476027397260274,0.27319587628865977,0.6417525773195877,0.30612244897959184,0.0,1.0,0.0,1.0, Approved
0.2,0.8762886597938143,0.5153061224489796,0.2222222222222222,0.3716666666666667,0.6643835616438356,0.33505154639175255,0.6030927835051546,0.326530612244898,0.0,1.0,0.0,1.0, Rejected
0.4,0.05154639175257732,0.05867346938775509,0.5555555555555556,0.21500000000000008,0.05821917808219178,0.06701030927835051,0.061855670103092786,0.054421768707483,0.0,1.0,0.0,1.0, Rejected
1.0,0.5773195876288659,0.5739795918367346,0.5555555555555556,0.5,0.5513698630136986,0.05670103092783505,0.5257731958762887,0.38775510204081637,0.0,1.0,1.0,0.0, Approved
0.4,0.6082474226804123,0.30612244897959184,0.8888888888888888,0.6616666666666668,0.4863013698630137,0.4690721649484536,0.31701030927835055,0.2380952380952381,0.0,1.0,0.0,1.0, Approved
0.2,0.0,0.0025510204081632647,0.8888888888888888,0.9316666666666669,0.0136986301369863,0.005154639175257732,0.0025773195876288664,0.01360544217687075,1.0,0.0,0.0,1.0, Approved
0.4,0.36082474226804123,0.3469387755102041,0.0,0.17500000000000004,0.2054794520547945,0.16494845360824742,0.2268041237113402,0.3741496598639456,0.0,1.0,0.0,1.0, Approved
1.0,0.08247422680412371,0.05357142857142857,0.8888888888888888,0.5216666666666667,0.05821917808219178,0.06701030927835051,0.059278350515463915,0.04081632653061225,0.0,1.0,0.0,1.0, Approved
0.8,0.27835051546391754,0.21938775510204078,0.8888888888888888,0.8783333333333334,0.017123287671232876,0.17525773195876287,0.2809278350515464,0.108843537414966,0.0,1.0,0.0,1.0, Approved
0.4,0.22680412371134018,0.15051020408163263,0.5555555555555556,0.9333333333333333,0.17123287671232879,0.19072164948453607,0.23711340206185566,0.07482993197278912,0.0,1.0,1.0,0.0, Approved
0.0,0.7319587628865979,0.6045918367346939,0.8888888888888888,0.585,0.571917808219178,0.005154639175257732,0.49742268041237114,0.30612244897959184,0.0,1.0,0.0,1.0, Approved
0.6000000000000001,0.16494845360824742,0.1377551020408163,0.0,0.20333333333333337,0.1678082191780822,0.0,0.08762886597938144,0.1564625850340136,0.0,1.0,1.0,0.0, Approved
0.8,0.6597938144329897,0.4362244897959184,1.0,0.3433333333333334,0.09246575342465753,0.5154639175257731,0.6597938144329897,0.489795918367347,0.0,1.0,1.0,0.0, Rejected
0.2,0.3402061855670103,0.19897959183673466,0.4444444444444445,0.5433333333333334,0.2465753424657534,0.28350515463917525,0.17783505154639176,0.19727891156462588,1.0,0.0,0.0,1.0, Approved
0.8,0.22680412371134018,0.14540816326530612,0.2222222222222222,0.6866666666666668,0.2363013698630137,0.1134020618556701,0.14690721649484537,0.0816326530612245,0.0,1.0,1.0,0.0, Approved
0.4,0.5051546391752577,0.413265306122449,0.5555555555555556,0.9083333333333334,0.4178082191780822,0.46391752577319584,0.28608247422680416,0.38775510204081637,1.0,0.0,1.0,0.0, Approved
0.0,0.8865979381443299,0.7882653061224489,0.1111111111111111,0.8766666666666667,0.10273972602739725,0.02577319587628866,0.8505154639175257,0.5850340136054423,0.0,1.0,1.0,0.0, Approved
0.6000000000000001,0.6804123711340205,0.6785714285714285,0.7777777777777777,0.8633333333333335,0.5068493150684932,0.5360824742268041,0.6701030927835052,0.49659863945578236,0.0,1.0,0.0,1.0, Approved
0.2,0.13402061855670103,0.14285714285714285,0.7777777777777777,0.16666666666666674,0.14726027397260272,0.12371134020618556,0.11597938144329896,0.10204081632653061,0.0,1.0,0.0,1.0, Rejected
0.6000000000000001,0.9690721649484535,0.9566326530612244,0.4444444444444445,0.19666666666666666,0.2328767123287671,0.28350515463917525,0.8917525773195877,0.7687074829931974,1.0,0.0,1.0,0.0, Rejected
1.0,0.09278350515463918,0.09438775510204081,0.7777777777777777,0.33000000000000007,0.017123287671232876,0.005154639175257732,0.05154639175257732,0.04761904761904762,1.0,0.0,1.0,0.0, Rejected
0.8,0.6701030927835051,0.39540816326530615,0.5555555555555556,0.2766666666666667,0.2602739726027397,0.23711340206185566,0.5051546391752577,0.44897959183673475,0.0,1.0,0.0,1.0, Rejected
0.6000000000000001,0.7628865979381443,0.7576530612244897,0.4444444444444445,0.07333333333333336,0.6541095890410958,0.7061855670103092,0.7036082474226805,0.7551020408163266,1.0,0.0,0.0,1.0, Rejected
0.8,0.4639175257731959,0.25510204081632654,0.5555555555555556,0.6833333333333333,0.2602739726027397,0.39690721649484534,0.4278350515463918,0.44897959183673475,0.0,1.0,1.0,0.0, Approved
0.8,0.03092783505154639,0.030612244897959183,0.2222222222222222,0.2683333333333334,0.04794520547945205,0.02577319587628866,0.03608247422680412,0.01360544217687075,0.0,1.0,0.0,1.0, Rejected
0.0,0.5154639175257731,0.4464285714285714,0.8888888888888888,0.43000000000000005,0.2876712328767123,0.27835051546391754,0.327319587628866,0.2108843537414966,1.0,0.0,1.0,0.0, Approved
0.4,0.1958762886597938,0.19897959183673466,0.1111111111111111,0.4866666666666667,0.07191780821917808,0.12886597938144329,0.1958762886597938,0.1836734693877551,1.0,0.0,0.0,1.0, Approved
0.6000000000000001,0.6288659793814433,0.49999999999999994,0.5555555555555556,0.7833333333333334,0.0684931506849315,0.12371134020618556,0.3917525773195876,0.2108843537414966,1.0,0.0,0.0,1.0, Approved
1.0,0.4329896907216495,0.3826530612244898,0.1111111111111111,0.16833333333333333,0.010273972602739725,0.27835051546391754,0.443298969072165,0.163265306122449,1.0,0.0,1.0,0.0, Approved
0.6000000000000001,0.9484536082474226,0.6198979591836734,0.4444444444444445,0.19000000000000006,0.3047945205479452,0.6907216494845361,0.6056701030927835,0.380952380952381,1.0,0.0,0.0,1.0, Rejected
1.0,0.6701030927835051,0.6403061224489796,0.6666666666666665,0.8666666666666667,0.3561643835616438,0.4175257731958763,0.4690721649484536,0.2653061224489796,1.0,0.0,0.0,1.0, Approved
0.4,0.5670103092783505,0.5153061224489796,0.3333333333333333,0.18666666666666676,0.20205479452054792,0.22164948453608246,0.538659793814433,0.33333333333333337,1.0,0.0,1.0,0.0, Rejected
0.2,0.9587628865979381,0.5025510204081632,0.7777777777777777,0.9266666666666667,0.8561643835616438,0.0,0.9123711340206185,0.4217687074829932,0.0,1.0,1.0,0.0, Approved
0.4,0.9175257731958762,0.6096938775510203,0.7777777777777777,0.6416666666666668,0.8801369863013698,0.0979381443298969,0.7938144329896907,0.6190476190476191,1.0,0.0,0.0,1.0, Approved
0.0,0.4123711340206186,0.36989795918367346,1.0,0.3500000000000001,0.3184931506849315,0.29381443298969073,0.29896907216494845,0.17687074829931973,0.0,1.0,1.0,0.0, Rejected
0.6000000000000001,0.7319587628865979,0.5025510204081632,0.8888888888888888,0.7000000000000002,0.5342465753424658,0.5103092783505154,0.5850515463917526,0.6666666666666667,0.0,1.0,0.0,1.0, Approved
1.0,0.7113402061855669,0.548469387755102,0.8888888888888888,0.9850000000000001,0.24315068493150682,0.0,0.4793814432989691,0.3197278911564626,0.0,1.0,0.0,1.0, Approved
0.0,0.7525773195876289,0.41581632653061223,0.6666666666666665,0.2333333333333334,0.5924657534246576,0.7474226804123711,0.6134020618556701,0.7006802721088435,1.0,0.0,0.0,1.0, Rejected
0.8,0.7938144329896907,0.7729591836734693,0.0,0.44833333333333336,0.2636986301369863,0.17525773195876287,0.5103092783505154,0.5034013605442177,1.0,0.0,1.0,0.0, Approved
1.0,0.08247422680412371,0.0433673469387755,0.1111111111111111,0.3733333333333334,0.0958904109589041,0.09278350515463918,0.04896907216494845,0.04761904761904762,0.0,1.0,1.0,0.0, Rejected
0.0,0.8041237113402061,0.7525510204081632,0.5555555555555556,0.7266666666666668,0.023972602739726026,0.8092783505154639,0.7860824742268041,0.5714285714285715,1.0,0.0,1.0,0.0, Approved
1.0,0.020618556701030927,0.012755102040816325,0.0,0.7650000000000001,0.00684931506849315,0.02577319587628866,0.02577319587628866,0.020408163265306124,1.0,0.0,0.0,1.0, Approved
1.0,0.5360824742268041,0.49489795918367346,1.0,0.20500000000000007,0.226027397260274,0.5154639175257731,0.3969072164948454,0.49659863945578236,1.0,0.0,1.0,0.0, Rejected
0.2,0.0,0.0,0.5555555555555556,0.6616666666666668,0.023972602739726026,0.015463917525773195,0.010309278350515462,0.006802721088435375,1.0,0.0,1.0,0.0, Approved
0.2,0.6907216494845361,0.3596938775510204,0.4444444444444445,0.8800000000000001,0.16095890410958902,0.6701030927835051,0.6804123711340206,0.6122448979591837,0.0,1.0,1.0,0.0, Approved
